,lower_bound,upper_bound
rxn05389_c0,-1.06E-14,6.539070884
rxn03393_c0,-3.87E-16,0.23769647
rxn13847_c0,-1.06E-14,18.06761877
rxn05379_c0,-1.06E-14,6.539070884
rxn02287_c0,-3.87E-16,0.23769647
rxn05030_c0,-3.13E-15,1.919907778
rxn05380_c0,-1.06E-14,6.539070884
rxn02011_c0,-3.13E-15,1.919907778
rxn12648_c0,-2.14E-15,1.314983134
rxn05148_c0,-7.74E-16,0.47539294
rxn10226_c0,-1.33E-15,0.81738386
rxn08709_c0,-3.13E-15,1.919907778
rxn00086_c0,-3.041494153,1.29E-15
rxn00229_c0,-3.839815555,1.63E-15
rxn12639_c0,-4.38E-14,15.36168582
rxn02897_c0,-3.87E-16,0.23769647
rxn03538_c0,-3.87E-16,0.23769647
rxn08619_c0,-3.13E-15,1.919907778
rxn12663_c0,-10.39433812,4.40E-15
rxn02155_c0,-0.23769647,1.01E-16
rxn06556_c0,-9.599538888,4.06E-15
rxn05433_c0,-1.06E-14,6.539070884
rxn10094_c0,-3.87E-16,0.23769647
rxn05175_c0,-3.87E-16,0.23769647
rxn02290_c0,-2.806741515,1.19E-15
rxn03916_c0,-1.25E-14,7.67963111
rxn01073_c0,-0.81738386,3.46E-16
rxn10336_c0,-1.33E-15,0.81738386
rxn05243_c0,-5.76E-14,35.35533415
rxn05406_c0,-1.06E-14,6.539070884
rxn12522_c0,-1.06E-14,6.539070884
rxn10206_c0,-5.32E-15,3.269535442
rxn08942_c0,-5.21E-16,0.31998463
rxn05299_c0,-9.91E-15,6.084572789
rxn10832_c0,-8.53E-14,0.47539294
rxn05381_c0,-1.06E-14,6.539070884
rxn03150_c0,-3.87E-16,0.23769647
rxn03918_c0,-1.25E-14,7.67963111
rxn01207_c0,-1.06E-14,6.539070884
rxn05400_c0,-1.06E-14,6.539070884
rxn00137_c0,-3.87E-16,0.23769647
rxn10163_c0,-8.76E-14,1.919907778
rxn05363_c0,-1.06E-14,6.539070884
rxn13661_c0,-1.426178821,6.04E-16
rxn05393_c0,-1.06E-14,6.539070884
rxn13360_c0,-0.71308941,1.14E-13
rxn05310_c0,-0.23769647,1.01E-16
rxn09657_c0,-3.87E-16,0.23769647
rxn00124_c0,-3.87E-16,0.23769647
rxn05301_c0,-1.51E-14,9.263591156
rxn05404_c0,-1.06E-14,6.539070884
rxn08618_c0,-3.13E-15,1.919907778
rxn01518_c0,-2.14E-15,1.314983134
rxn12635_c0,-3.98E-14,1.353014118
rxn03439_c0,-3.13E-15,1.919907778
rxn10266_c0,-3.99E-15,2.452151581
rxn02898_c0,-0.950785881,4.02E-16
rxn10265_c0,-3.99E-15,2.452151581
rxn05438_c0,-1.06E-14,6.539070884
rxn05535_c0,-3.98E-14,1.353014118
rxn09225_c0,-3.13E-15,1.919907778
rxn01675_c0,-3.13E-15,1.919907778
rxn05578_c0,5.76E-14,13.78994552
rxn10100_c0,-1.25E-14,7.67963111
rxn05437_c0,-1.06E-14,6.539070884
rxn09685_c0,-2.14E-15,1.314983134
rxn10161_c0,-2.82E-14,17.3076311
rxn05368_c0,-1.06E-14,6.539070884
rxn05376_c0,-1.06E-14,6.539070884
rxn05307_c0,-2.59E-14,15.88590692
rxn05434_c0,-1.06E-14,6.539070884
rxn01512_c0,-4.40E-14,1.444514837
rxn10199_c0,-3.13E-15,1.919907778
rxn03408_c0,-3.13E-15,1.919907778
rxn05405_c0,-1.06E-14,6.539070884
rxn14012_c0,-3.13E-15,1.919907778
rxn13399_c0,-2.806741515,1.19E-15
rxn10060_c0,-0.47539294,-2.48E-13
rxn08712_c0,-3.13E-15,1.919907778
rxn08941_c0,-5.21E-16,0.31998463
rxn10174_c0,-5.21E-16,0.31998463
rxn05059_c0,-1.314983134,5.57E-16
rxn02005_c0,-1.25E-14,7.67963111
rxn05244_c0,-3.02E-14,18.5613653
rxn05373_c0,-1.06E-14,6.539070884
rxn05306_c0,-1.81E-14,11.14840923
rxn05651_c0,-3.87E-16,0.23769647
rxn09686_c0,-1.86E-15,1.144543128
rxn10232_c0,-1.33E-15,0.81738386
rxn05746_c0,-5.21E-16,0.31998463
rxn05359_c0,-1.06E-14,6.539070884
rxn00121_c0,-0.23769647,1.01E-16
rxn00703_c0,-0.639969259,2.71E-16
rxn00362_c0,-10.44852301,-1.82E-13
bio1_biomass,-1.25E-13,76.76377029
EX_cpd00066_e0,-11.14840923,4.72E-15
EX_cpd00034_e0,-0.23769647,1.01E-16
EX_cpd11587_e0,-15.36168582,-1.17E-15
EX_cpd00220_e0,-0.47539294,2.01E-16
EX_cpd00094_e0,-6.539070884,2.77E-15
EX_cpd00115_e0,-1.144543128,4.84E-16
EX_cpd00232_e0,-3.839815555,1.63E-15
EX_cpd00063_e0,-0.23769647,1.01E-16
EX_cpd00162_e0,-0.81738386,3.46E-16
EX_cpd00156_e0,-27.03874762,1.14E-14
EX_cpd00528_e0,9.62E-14,252.1904784
EX_cpd00067_e0,4.31E-13,500
EX_cpd00069_e0,-9.263591156,-6.67E-12
EX_cpd11591_e0,-1.353014118,-9.74E-13
EX_cpd00007_e0,-379.5675936,6.06E-13
EX_cpd00036_e0,-17.08040522,3.79E-13
EX_cpd00099_e0,-0.23769647,1.48E-16
EX_cpd00006_e0,-0.71308941,1.14E-13
EX_cpd00412_e0,-1.314983134,8.20E-16
EX_cpd00065_e0,-3.623397279,2.26E-15
EX_cpd00305_e0,-0.23769647,1.48E-16
EX_cpd00028_e0,-0.47539294,2.97E-16
EX_cpd01080_e0,-17.3076311,1.08E-14
EX_cpd00051_e0,-19.1750747,1.20E-14
EX_cpd00013_e0,-513.7861664,6.38E-13
EX_cpd10516_e0,-0.23769647,1.48E-16
EX_cpd00119_e0,-6.084572789,3.80E-15
EX_cpd00794_e0,-7.67963111,4.79E-15
EX_cpd01329_e0,-0.31998463,2.00E-16
EX_cpd00357_e0,-1.144543128,7.14E-16
EX_cpd00149_e0,-0.23769647,1.48E-16
EX_cpd11594_e0,-1.741420502,-3.00E-14
EX_cpd00241_e0,-1.314983134,8.20E-16
EX_cpd00132_e0,-15.41652993,9.62E-15
EX_cpd00185_e0,-5.759723333,3.59E-15
EX_cpd00393_e0,-0.71308941,4.45E-16
EX_cpd00205_e0,-0.23769647,1.48E-16
EX_cpd10515_e0,-0.23769647,1.48E-16
EX_cpd00111_e0,-3.041494153,1.90E-15
EX_cpd00254_e0,-0.23769647,-7.02E-17
EX_cpd00516_e0,-23.83120641,1.49E-14
EX_cpd00322_e0,-18.5613653,1.16E-14
EX_cpd11606_e0,-1.426178821,8.90E-16
EX_cpd00001_e0,0,1000
EX_cpd00307_e0,-10.44852301,-2.24E-13
EX_cpd00038_e0,-10.39433812,4.32E-15
EX_cpd00017_e0,-8.695201399,3.62E-15
EX_cpd00264_e0,-0.23769647,9.89E-17
EX_cpd00107_e0,-35.35533415,1.47E-14
EX_cpd00030_e0,-0.23769647,9.89E-17
EX_cpd00122_e0,-3.839815555,1.60E-15
EX_cpd00161_e0,-34.27035754,1.51E-12
EX_cpd00696_e0,-2.980187101,2.29E-13
EX_cpd00080_e0,-13.78994552,8.17E-14
EX_cpd00048_e0,-0.23769647,9.89E-17
EX_cpd01188_e0,-2.806741515,1.17E-15
EX_cpd00129_e0,-14.15175918,0
EX_cpd00010_e0,-0.47539294,1.98E-16
EX_cpd03847_e0,-1.919907778,7.98E-16
EX_cpd00054_e0,-15.88590692,6.61E-15
EX_cpd00058_e0,-0.23769647,-6.95E-17
EX_cpd00218_e0,-4.40E-16,0.23769647
EX_cpd00011_e0,-3.76E-14,10.249588
EX_cpd00215_e0,-0.23769647,9.89E-17
EX_cpd01741_e0,-9.599538888,3.99E-15
EX_cpd11580_e0,-13.39820955,1.61E-14
DM_cpd15302_c0,0,0
DM_cpd11416_c0,-1.42E-13,76.76377029
